review_title,review_body,review_rating
Echo's Little Sister,I like this smaller version which fits nicely on my nightstand and is handy without taking up much room.,5.0 out of 5 stars
Neat little device,Fun apps for kids. Nice for music in the bedrooms.,5.0 out of 5 stars
Glad I bought it on prime day,Alexa is pretty dumb but the package overall is good.,4.0 out of 5 stars
I am a very tech-savy person and feel bad for the elderly trying to use this product,"She always tries to play stuff from amazon fire TV. I want her to play ""Friends"" from Netflix and she tries to play it from fire TV. I have done EVERYTHING! I set the default to Netflix and she doesn't care. She has been demoted by my google home mini and her ONE job is to turn off the lights. I am a very tech-savy person and feel bad for the elderly trying to use this product. Plus her speaker quality is EXTREMELY disappointing. My phone sounds better. My google home mini dominates on sound quality and much more.",1.0 out of 5 stars
Great little item.,Love it! Everything I thought it would be.,5.0 out of 5 stars
Yes,Good little thing wish speaker was a little louder,4.0 out of 5 stars
La entrega,Excelente,5.0 out of 5 stars
My wife can use it after two tries.,Setup was easy!,5.0 out of 5 stars
Use Google its smarter,Its ok. Nothing special. Google App has FAR more info than Echo. Lack luster.,3.0 out of 5 stars
Great products,This is my second echo dot and I think they're great. By using the Drop in feature I can now ask my wife questions from the other side of the house. Sharon and I also like to listen and share music throughout the house using Amazon Prime music. We love it!!,5.0 out of 5 stars
alwys inproving,works as listed,4.0 out of 5 stars
"Simple, versatile, verbal command AI interface. Buy it!","A very versatile gizmo for the price. Received mine as a gift, and thinking I would never use it... I now have more, which I couldn't live without asking to playing music, check the weather, simple math, sports and stock news updates, guided meditation, alarm clock to my choice of music and so on... The options are endless, as It has all the abilities of the internet with a simple verbal AI interface. I used to ""Google"" inquiries all the time, and this is now the way of the future. While this particular item may have plenty of flaws, Amazon has clearly created something that everyone must possess.
Although the general search ability is not nearly comparable to Google home, (alexa regularly fails to answer simple questions) This is just the first generation of devices, so I'm expecting incredible improvements in the technology and massive integration of this type of artificial intelligence throughout our homes, in our cars, and around the world. It's probably something you should be aware of and begin understanding how to interact with, as ai will become a big part of our lives soon.",5.0 out of 5 stars
Great product,"Great product, just wish the speaker was a little louder. Other than that it’s awesome and look forward to getting more",4.0 out of 5 stars
Dont always understand what i say but ok,"It not always understand what I say and when I say to play some radio it go to play I heart radio direct , instead of my Pandora ... Which is annoying... Otherwise ok",4.0 out of 5 stars
Echo without the nice speaker,It does what my echo does without the nice speaker. What I expected.,5.0 out of 5 stars
Speaker quality less than expected,I greatly prefer my Echo Show over my Echo Dot.,4.0 out of 5 stars
Get an Echo!!,We have fun asking it all sorts of things,5.0 out of 5 stars
Fun and useful product,"We love the music, the games, the stories, the jokes, the calling feature, the audio books, the fact-checking.",5.0 out of 5 stars
